Ordre_theme,Theme,Question_num,Question,Option_A,Option_B,Option_C,Option_D,Reponse_correcte
1,Les articles définis et indéfinis,1,"___ chien est noir.",Le,La,Les,L',Le
1,Les articles définis et indéfinis,2,"Elle a ___ pomme.",un,une,des,le,une
1,Les articles définis et indéfinis,3,"___ chats dorment.",Le,La,Les,Un,Les
1,Les articles définis et indéfinis,4,"J'ai ___ ami à Paris.",un,une,des,le,un
1,Les articles définis et indéfinis,5,"___ eau est froide.",Le,La,L',Les,L'
2,Le genre et le nombre des noms,1,"Quel est le féminin de ""un ami"" ?",une amie,un amis,une ami,les amis,une amie
2,Le genre et le nombre des noms,2,"Quel est le pluriel de ""un chat"" ?",un chats,des chat,des chats,les chat,des chats
2,Le genre et le nombre des noms,3,"Quel est le féminin de ""acteur"" ?",actrice,acteure,actrisse,actoresse,actrice
2,Le genre et le nombre des noms,4,"Quel est le pluriel de ""un cheval"" ?",des chevals,des chevaux,les cheval,des chevaus,des chevaux
2,Le genre et le nombre des noms,5,"Quel est le féminin de ""le directeur"" ?",la directeure,la directrice,la direction,la directoresse,la directrice
3,Les pronoms sujets,1,"___ mange une pomme. (moi)",Je,Tu,Il,Vous,Je
3,Les pronoms sujets,2,"Quel pronom pour ""Marie et Paul"" ?",il,elle,ils,nous,ils
3,Les pronoms sujets,3,"Quel pronom pour ""toi et moi"" ?",vous,nous,ils,elles,nous
3,Les pronoms sujets,4,"Quel pronom remplace ""la maison"" ?",il,elle,ils,elles,elle
3,Les pronoms sujets,5,"Quel pronom pour parler à un ami (informel) ?",vous,tu,il,nous,tu
4,Le présent de l'indicatif,1,"Conjugue ""parler"" à je :",parle,parles,parlons,parlez,parle
4,Le présent de l'indicatif,2,"Conjugue ""finir"" à nous :",finis,finissons,finissez,finissent,finissons
4,Le présent de l'indicatif,3,"Conjugue ""vendre"" à tu :",vend,vends,vendons,vendez,vends
4,Le présent de l'indicatif,4,"Conjugue ""être"" à ils :",sont,est,es,êtes,sont
4,Le présent de l'indicatif,5,"Conjugue ""avoir"" à nous :",ai,as,avons,ont,avons
5,Les adjectifs possessifs,1,"C'est ___ frère (à moi).",mon,ma,mes,ton,mon
5,Les adjectifs possessifs,2,"C'est ___ sœur (à moi).",mon,ma,mes,ton,ma
5,Les adjectifs possessifs,3,"Ce sont ___ parents (à moi).",mon,ma,mes,ton,mes
5,Les adjectifs possessifs,4,"___ maison (à toi) est grande.",Mon,Ta,Ton,Ma,Ta
5,Les adjectifs possessifs,5,"___ chien (à elle) est mignon.",Son,Sa,Ses,Leur,Son
6,Les adjectifs qualificatifs (accord),1,"une ___ maison",grand,grande,grands,grandes,grande
6,Les adjectifs qualificatifs (accord),2,"un chien ___",noir,noire,noirs,noires,noir
6,Les adjectifs qualificatifs (accord),3,"des filles ___",intelligent,intelligente,intelligents,intelligentes,intelligentes
6,Les adjectifs qualificatifs (accord),4,"une pomme ___",rouge,rouges,rougee,rouget,rouge
6,Les adjectifs qualificatifs (accord),5,"des garçons ___",heureux,heureuse,heureuses,heureuxs,heureux
7,La négation simple,1,"Je ___ mange ___ viande.",ne / pas,ne / jamais,pas / ne,ne / plus,ne / pas
7,La négation simple,2,"Négation de ""Il aime le café.""","Il n'aime pas le café.",Il aime pas le café.,Il ne aime pas le café.,Il n'aime le café pas.,"Il n'aime pas le café."
7,La négation simple,3,"Négation de ""Nous avons faim.""","Nous n'avons pas faim.",Nous avons pas faim.,Nous ne avons pas faim.,Nous n'avons faim pas.,"Nous n'avons pas faim."
7,La négation simple,4,"Je ne sais ___.",pas,rien,jamais,personne,rien
7,La négation simple,5,"Elle ne vient ___.",pas,jamais,rien,personne,jamais
8,Poser des questions,1,"Transforme en question : ""Tu aimes le chocolat.""","Est-ce que tu aimes le chocolat ?","Aimes tu le chocolat est-ce que ?","Tu est-ce que aimes le chocolat ?","Est-ce tu aimes le chocolat ?","Est-ce que tu aimes le chocolat ?"
8,Poser des questions,2,"Quel mot pour demander un lieu ?",Quand,Où,Pourquoi,Qui,Où
8,Poser des questions,3,"Quel mot pour demander une raison ?",Comment,Où,Pourquoi,Quand,Pourquoi
8,Poser des questions,4,"Quel mot pour demander une quantité ?",Combien,Comment,Quand,Qui,Combien
8,Poser des questions,5,"___ t'appelles-tu ?",Quand,Comment,Où,Pourquoi,Comment
9,Les prépositions de lieu,1,"Le chat est ___ la table.",sur,sous,dans,devant,sur
9,Les prépositions de lieu,2,"Le livre est ___ le sac.",sur,sous,dans,devant,dans
9,Les prépositions de lieu,3,"La voiture est ___ la maison.",dans,devant,sous,sur,devant
9,Les prépositions de lieu,4,"Le chien est caché ___ la table.",sur,sous,devant,derrière,sous
9,Les prépositions de lieu,5,"Le jardin est ___ la maison.",dans,derrière,sur,sous,derrière
10,L'heure et la date,1,"Comment dit-on ""3:30"" ?","Il est trois heures et demie","Il est trois heures et quart","Il est trois heures moins le quart","Il est quinze heures",Il est trois heures et demie
10,L'heure et la date,2,"Quel jour vient après ""lundi"" ?",dimanche,mardi,mercredi,vendredi,mardi
