Infinitif,Japonais,Niveau,Groupe,Auxiliaire,Present_je,Present_tu,Present_il/elle,Present_nous,Present_vous,Present_ils/elles,Futur_je,Futur_tu,Futur_il/elle,Futur_nous,Futur_vous,Futur_ils/elles,PasseCompose_je,PasseCompose_tu,PasseCompose_il/elle,PasseCompose_nous,PasseCompose_vous,PasseCompose_ils/elles
parler,話す（はなす）,A1,1er groupe (-er),avoir,parle,parles,parle,parlons,parlez,parlent,parlerai,parleras,parlera,parlerons,parlerez,parleront,ai parlé,as parlé,a parlé,avons parlé,avez parlé,ont parlé
aimer,好き（すき）・愛する（あいする）,A1,1er groupe (-er),avoir,aime,aimes,aime,aimons,aimez,aiment,aimerai,aimeras,aimera,aimerons,aimerez,aimeront,ai aimé,as aimé,a aimé,avons aimé,avez aimé,ont aimé
regarder,見る（みる）,A1,1er groupe (-er),avoir,regarde,regardes,regarde,regardons,regardez,regardent,regarderai,regarderas,regardera,regarderons,regarderez,regarderont,ai regardé,as regardé,a regardé,avons regardé,avez regardé,ont regardé
écouter,聞く（きく）,A1,1er groupe (-er),avoir,écoute,écoutes,écoute,écoutons,écoutez,écoutent,écouterai,écouteras,écoutera,écouterons,écouterez,écouteront,ai écouté,as écouté,a écouté,avons écouté,avez écouté,ont écouté
habiter,住む（すむ）,A1,1er groupe (-er),avoir,habite,habites,habite,habitons,habitez,habitent,habiterai,habiteras,habitera,habiterons,habiterez,habiteront,ai habité,as habité,a habité,avons habité,avez habité,ont habité
travailler,働く（はたらく）,A1,1er groupe (-er),avoir,travaille,travailles,travaille,travaillons,travaillez,travaillent,travaillerai,travailleras,travaillera,travaillerons,travaillerez,travailleront,ai travaillé,as travaillé,a travaillé,avons travaillé,avez travaillé,ont travaillé
jouer,遊ぶ（あそぶ）,A1,1er groupe (-er),avoir,joue,joues,joue,jouons,jouez,jouent,jouerai,joueras,jouera,jouerons,jouerez,joueront,ai joué,as joué,a joué,avons joué,avez joué,ont joué
chanter,歌う（うたう）,A1,1er groupe (-er),avoir,chante,chantes,chante,chantons,chantez,chantent,chanterai,chanteras,chantera,chanterons,chanterez,chanteront,ai chanté,as chanté,a chanté,avons chanté,avez chanté,ont chanté
danser,踊る（おどる）,A1,1er groupe (-er),avoir,danse,danses,danse,dansons,dansez,dansent,danserai,danseras,dansera,danserons,danserez,danseront,ai dansé,as dansé,a dansé,avons dansé,avez dansé,ont dansé
dessiner,描く（えがく）,A1,1er groupe (-er),avoir,dessine,dessines,dessine,dessinons,dessinez,dessinent,dessinerai,dessineras,dessinera,dessinerons,dessinerez,dessineront,ai dessiné,as dessiné,a dessiné,avons dessiné,avez dessiné,ont dessiné
cuisiner,料理する（りょうりする）,A2,1er groupe (-er),avoir,cuisine,cuisines,cuisine,cuisinons,cuisinez,cuisinent,cuisinerai,cuisineras,cuisinera,cuisinerons,cuisinerez,cuisineront,ai cuisiné,as cuisiné,a cuisiné,avons cuisiné,avez cuisiné,ont cuisiné
nager,泳ぐ（およぐ）,A1,1er groupe (-er),avoir,nage,nages,nage,nageons,nagez,nagent,nagerai,nageras,nagera,nagerons,nagerez,nageront,ai nagé,as nagé,a nagé,avons nagé,avez nagé,ont nagé
voyager,旅行する（りょこうする）,A2,1er groupe (-er),avoir,voyage,voyages,voyage,voyageons,voyagez,voyagent,voyagerai,voyageras,voyagera,voyagerons,voyagerez,voyageront,ai voyagé,as voyagé,a voyagé,avons voyagé,avez voyagé,ont voyagé
penser,考える（かんがえる）,A1,1er groupe (-er),avoir,pense,penses,pense,pensons,pensez,pensent,penserai,penseras,pensera,penserons,penserez,penseront,ai pensé,as pensé,a pensé,avons pensé,avez pensé,ont pensé
chercher,探す（さがす）,A1,1er groupe (-er),avoir,cherche,cherches,cherche,cherchons,cherchez,cherchent,chercherai,chercheras,cherchera,chercherons,chercherez,chercheront,ai cherché,as cherché,a cherché,avons cherché,avez cherché,ont cherché
