Francais,Japonais,Niveau,Categorie,Image_a_chercher
le père,父（ちち）,A1,La famille,father
la mère,母（はは）,A1,La famille,mother
le frère,兄弟（きょうだい）,A1,La famille,brother
la sœur,姉妹（しまい）,A1,La famille,sister
le grand-père,祖父（そふ）,A1,La famille,grandfather
la grand-mère,祖母（そぼ）,A1,La famille,grandmother
l'oncle,おじ,A1,La famille,uncle
la tante,おば,A1,La famille,aunt
le cousin,いとこ（男）,A1,La famille,cousin
la cousine,いとこ（女）,A1,La famille,cousin
le fils,息子（むすこ）,A1,La famille,son
la fille,娘（むすめ）,A1,La famille,daughter
le mari,夫（おっと）,A2,La famille,husband
la femme,妻（つま）,A2,La famille,wife
les parents,両親（りょうしん）,A1,La famille,parents
l'enfant,子供（こども）,A1,La famille,child
le bébé,赤ちゃん（あかちゃん）,A1,La famille,baby
le neveu,甥（おい）,A2,La famille,nephew
la nièce,姪（めい）,A2,La famille,niece
la famille,家族（かぞく）,A1,La famille,family
le beau-père,義父（ぎふ）,A2,La famille,stepfather
la belle-mère,義母（ぎぼ）,A2,La famille,stepmother
les jumeaux,双子（ふたご）,A2,La famille,twins
la tête,頭（あたま）,A1,Le corps,head
les cheveux,髪（かみ）,A1,Le corps,hair
le visage,顔（かお）,A1,Le corps,face
l'œil / les yeux,目（め）,A1,Le corps,eye
le nez,鼻（はな）,A1,Le corps,nose
la bouche,口（くち）,A1,Le corps,mouth
la dent,歯（は）,A1,Le corps,tooth
l'oreille,耳（みみ）,A1,Le corps,ear
le cou,首（くび）,A1,Le corps,neck
l'épaule,肩（かた）,A2,Le corps,shoulder
le bras,腕（うで）,A1,Le corps,arm
la main,手（て）,A1,Le corps,hand
le doigt,指（ゆび）,A1,Le corps,finger
la jambe,脚（あし）,A1,Le corps,leg
le pied,足（あし）,A1,Le corps,foot
le genou,膝（ひざ）,A2,Le corps,knee
le dos,背中（せなか）,A2,Le corps,back
le ventre,お腹（おなか）,A2,Le corps,stomach
le cœur,心臓（しんぞう）,A2,Le corps,heart
la peau,肌（はだ）,A2,Le corps,skin
le sourcil,眉（まゆ）,A2,Le corps,eyebrow
le menton,あご,A2,Le corps,chin
la poitrine,胸（むね）,A2,Le corps,chest
l'ongle,爪（つめ）,A2,Le corps,nail
le coude,肘（ひじ）,A2,Le corps,elbow
le pantalon,ズボン,A1,Les vêtements,trousers
le jean,ジーンズ,A1,Les vêtements,jeans
la robe,ワンピース,A1,Les vêtements,dress
la jupe,スカート,A1,Les vêtements,skirt
la chemise,シャツ,A1,Les vêtements,shirt
le tee-shirt,Tシャツ,A1,Les vêtements,t-shirt
le pull,セーター,A1,Les vêtements,sweater
la veste,ジャケット,A1,Les vêtements,jacket
le manteau,コート,A1,Les vêtements,coat
les chaussures,靴（くつ）,A1,Les vêtements,shoes
les baskets,スニーカー,A1,Les vêtements,sneakers
les chaussettes,靴下（くつした）,A1,Les vêtements,socks
les sous-vêtements,下着（したぎ）,A2,Les vêtements,underwear
la casquette,キャップ,A1,Les vêtements,cap
le chapeau,帽子（ぼうし）,A1,Les vêtements,hat
l'écharpe,マフラー,A2,Les vêtements,scarf
les gants,手袋（てぶくろ）,A2,Les vêtements,gloves
la ceinture,ベルト,A2,Les vêtements,belt
le short,ショートパンツ,A1,Les vêtements,shorts
le maillot de bain,水着（みずぎ）,A2,Les vêtements,swimsuit
le pyjama,パジャマ,A1,Les vêtements,pajamas
les lunettes,眼鏡（めがね）,A1,Les vêtements,glasses
le sac à dos,リュックサック,A1,Les vêtements,backpack
le bijou,宝石（ほうせき）,A2,Les vêtements,jewel
la montre,腕時計（うでどけい）,A1,Les vêtements,watch
la capuche,フード,A2,Les vêtements,hood
le pain,パン,A1,La nourriture et les boissons,bread
le beurre,バター,A1,La nourriture et les boissons,butter
la confiture,ジャム,A1,La nourriture et les boissons,jam
